Timestamp,Centigrade,Fahrenheit,Humidity
2024-04-24 14:09:27,10.8,51.4,67.7
2024-04-24 14:24:31,10.9,51.6,67.5
2024-04-24 14:40:01,10.8,51.4,66.8
2024-04-24 15:10:31,10.7,51.3,68.0
2024-04-24 15:26:31,10.7,51.3,66.5
2024-04-24 15:41:42,10.7,51.3,66.7
2024-04-24 15:57:31,10.7,51.3,66.4
2024-04-24 16:13:31,10.7,51.3,66.2
2024-04-24 16:29:31,10.6,51.1,65.7
2024-04-24 16:45:31,10.6,51.1,64.9
2024-04-24 17:01:31,10.4,50.7,66.4
2024-04-24 17:17:31,10.4,50.7,67.9
2024-04-24 17:33:17,10.4,50.7,66.0
2024-04-24 17:48:31,10.3,50.5,66.2
2024-04-24 18:04:31,10.3,50.5,66.2
2024-04-24 18:20:31,10.3,50.5,65.9
2024-04-24 18:36:31,10.2,50.4,67.2
2024-04-24 18:52:31,10.0,50.0,64.7
2024-04-24 19:08:31,9.9,49.8,66.0
2024-04-24 19:23:31,9.8,49.6,67.3
2024-04-24 19:39:31,9.7,49.5,69.6
2024-04-24 20:10:31,9.3,48.7,72.2
2024-04-24 20:26:31,8.8,47.8,79.9
2024-04-24 20:42:31,8.5,47.3,81.5
2024-04-24 20:58:21,8.2,46.8,81.3
2024-04-24 21:13:31,8.4,47.1,81.5
2024-04-24 21:28:44,8.4,47.1,82.7
2024-04-24 21:44:16,8.4,47.1,82.3
2024-04-24 21:59:21,7.7,45.9,82.1
2024-04-24 22:30:31,7.0,44.6,82.3
2024-04-24 22:46:31,6.6,43.9,82.5
2024-04-24 23:02:21,6.3,43.3,83.2
2024-04-24 23:33:31,5.9,42.6,84.1
2024-04-24 23:49:31,5.7,42.3,84.5
2024-04-25 00:05:31,5.4,41.7,84.3
2024-04-25 00:20:54,5.2,41.4,84.6
2024-04-25 00:36:31,5.0,41.0,84.7
2024-04-25 00:52:31,4.7,40.5,85.2
2024-04-25 01:23:31,4.3,39.7,85.7
2024-04-25 01:39:31,4.1,39.4,86.1
2024-04-25 01:55:02,4.9,40.8,89.8
2024-04-25 02:10:11,5.6,42.1,90.4
2024-04-25 02:57:31,5.0,41.0,87.0
2024-04-25 03:13:21,4.9,40.8,86.7
2024-04-25 04:00:13,4.8,40.6,86.3
2024-04-25 04:15:31,4.7,40.5,86.1
2024-04-25 04:31:31,4.6,40.3,86.6
2024-04-25 04:47:31,4.6,40.3,86.3
2024-04-25 05:19:11,4.4,39.9,86.5
2024-04-25 05:34:17,4.4,39.9,86.3
2024-04-25 05:49:26,4.4,39.9,86.4
2024-04-25 06:34:39,4.4,39.9,86.2
2024-04-25 06:49:48,4.5,40.1,85.4
2024-04-25 07:04:50,4.7,40.5,85.3
2024-04-25 07:19:57,4.8,40.6,84.5
2024-04-25 07:34:58,4.9,40.8,84.1
2024-04-25 07:50:05,5.3,41.5,83.1
2024-04-25 08:05:08,5.6,42.1,82.5
2024-04-25 08:20:12,5.9,42.6,82.6
2024-04-25 08:35:14,6.2,43.2,83.6
2024-04-25 08:51:54,6.4,43.5,84.6
2024-04-25 09:06:59,7.1,44.8,84.8
2024-04-25 09:37:10,8.3,46.9,85.3
2024-04-25 10:07:18,9.1,48.4,83.8
2024-04-25 10:22:28,9.5,49.1,83.0
2024-04-25 10:37:28,9.9,49.8,82.3
2024-04-25 10:52:34,10.4,50.7,82.2
2024-04-25 11:22:48,11.0,51.8,79.1
2024-04-25 11:37:54,11.1,52.0,77.3
2024-04-25 11:52:56,11.4,52.5,77.2
2024-04-25 12:07:58,11.5,52.7,74.7
2024-04-25 12:23:11,11.7,53.1,74.8
2024-04-25 13:08:28,13.0,55.4,76.3
2024-04-25 13:38:50,13.4,56.1,74.9
2024-04-25 13:53:50,13.3,55.9,73.6
2024-04-25 14:39:05,13.6,56.5,75.3
2024-04-25 15:39:38,12.9,55.2,75.6
2024-04-25 15:54:42,12.6,54.7,76.7
2024-04-25 16:09:55,12.3,54.1,77.8
2024-04-25 16:25:05,12.0,53.6,78.7
2024-04-25 16:40:11,11.8,53.2,79.2
2024-04-25 16:55:13,11.6,52.9,79.5
2024-04-25 17:25:27,11.4,52.5,79.8
2024-04-25 17:40:28,11.3,52.3,80.2
2024-04-25 17:55:30,11.2,52.2,80.4
2024-04-25 18:10:31,11.1,52.0,80.8
2024-04-25 18:25:35,11.0,51.8,81.1
2024-04-25 19:56:22,10.3,50.5,83.1
2024-04-25 20:11:28,10.2,50.4,83.4
2024-04-25 20:26:35,10.2,50.4,83.9
2024-04-25 20:57:02,10.3,50.5,88.5
2024-04-25 21:12:15,11.0,51.8,90.4
2024-04-25 21:42:28,10.8,51.4,87.0
2024-04-25 21:57:28,10.3,50.5,86.7
2024-04-25 22:12:45,10.1,50.2,86.4
2024-04-25 22:28:02,9.8,49.6,87.4
2024-04-25 22:43:06,9.7,49.5,86.3
2024-04-25 23:13:28,9.4,48.9,86.0
2024-04-25 23:28:41,9.3,48.7,86.1
2024-04-25 23:43:45,9.2,48.6,86.4
2024-04-25 23:58:46,9.1,48.4,86.4
2024-04-26 00:29:16,9.0,48.2,86.4
2024-04-26 00:44:28,9.0,48.2,86.3
2024-04-26 01:45:02,8.5,47.3,86.2
2024-04-26 02:16:28,8.1,46.6,86.3
2024-04-26 02:32:08,7.9,46.2,86.9
2024-04-26 02:47:28,8.0,46.4,87.5
2024-04-26 03:03:27,7.9,46.2,87.4
2024-04-26 03:18:28,7.9,46.2,87.3
2024-04-26 03:33:33,7.9,46.2,87.2
2024-04-26 03:49:28,8.5,47.3,92.4
2024-04-26 04:04:30,9.0,48.2,95.1
2024-04-26 04:19:45,9.0,48.2,92.6
2024-04-26 04:50:15,8.5,47.3,89.7
2024-04-26 05:05:28,8.7,47.7,90.6
2024-04-26 05:20:28,8.4,47.1,89.0
2024-04-26 05:35:29,8.1,46.6,88.4
2024-04-26 05:50:38,7.9,46.2,88.3
2024-04-26 06:05:39,7.7,45.9,88.4
2024-04-26 06:36:03,7.5,45.5,88.9
2024-04-26 07:06:04,7.4,45.3,88.3
2024-04-26 07:36:28,7.5,45.5,87.6
2024-04-26 07:51:42,7.6,45.7,87.3
2024-04-26 08:21:49,7.8,46.0,86.9
2024-04-26 08:36:49,8.0,46.4,86.6
2024-04-26 09:37:18,8.9,48.0,85.6
2024-04-26 09:52:28,9.1,48.4,85.5
2024-04-26 10:07:29,9.3,48.7,85.4
2024-04-26 10:22:42,9.6,49.3,85.4
2024-04-26 10:37:48,9.9,49.8,85.2
2024-04-26 11:08:08,10.8,51.4,85.3
2024-04-26 12:08:28,12.8,55.0,83.0
2024-04-26 12:38:38,13.2,55.8,78.8
2024-04-26 12:53:48,13.2,55.8,78.8
2024-04-26 13:08:54,13.3,55.9,80.4
2024-04-26 13:23:59,13.4,56.1,79.3
2024-04-26 14:24:32,13.3,55.9,75.2
2024-04-26 14:39:37,13.3,55.9,76.9
2024-04-26 14:54:41,13.4,56.1,76.7
2024-04-26 15:09:48,13.4,56.1,76.0
2024-04-26 15:24:49,13.3,55.9,74.3
2024-04-26 15:39:54,13.4,56.1,76.5
2024-04-26 15:54:55,13.3,55.9,75.5
2024-04-26 16:25:11,13.3,55.9,76.4
2024-04-26 16:40:16,13.3,55.9,77.2
2024-04-26 16:55:23,13.2,55.8,75.7
2024-04-26 17:10:26,13.3,55.9,76.7
2024-04-26 17:25:28,13.3,55.9,78.8
2024-04-26 17:40:32,13.2,55.8,77.9
2024-04-26 17:55:36,13.1,55.6,77.4
2024-04-26 18:41:28,12.7,54.9,77.7
2024-04-26 18:57:28,12.5,54.5,77.8
2024-04-26 19:28:28,12.0,53.6,79.9
2024-04-26 19:43:32,11.8,53.2,79.1
2024-04-26 20:14:28,11.5,52.7,79.5
2024-04-26 20:30:02,11.4,52.5,79.7
2024-04-26 21:00:28,11.0,51.8,79.4
2024-04-26 21:31:28,11.8,53.2,83.6
2024-04-26 21:46:28,11.2,52.2,79.8
2024-04-26 22:32:08,10.5,50.9,80.8
2024-04-26 22:47:28,10.4,50.7,82.1
2024-04-26 23:03:28,10.2,50.4,80.8
2024-04-26 23:19:28,10.1,50.2,81.0
2024-04-26 23:35:02,10.0,50.0,81.2
2024-04-26 23:50:08,9.9,49.8,81.7
2024-04-27 00:05:08,9.8,49.6,81.6
2024-04-27 00:20:12,9.7,49.5,83.2
2024-04-27 00:35:28,10.5,50.9,89.1
2024-04-27 00:51:06,11.0,51.8,88.8
2024-04-27 01:22:28,10.0,50.0,83.7
2024-04-27 01:38:08,9.7,49.5,83.8
2024-04-27 02:40:41,9.2,48.6,84.5
2024-04-27 03:11:28,9.0,48.2,84.3
2024-04-27 03:59:08,8.8,47.8,84.9
2024-04-27 04:14:28,8.9,48.0,84.7
2024-04-27 04:46:28,9.3,48.7,89.5
2024-04-27 05:01:29,10.0,50.0,91.9
2024-04-27 05:32:08,9.1,48.4,86.1
2024-04-27 05:47:28,8.9,48.0,85.6
2024-04-27 06:02:59,8.8,47.8,85.7
2024-04-27 06:18:28,8.7,47.7,85.6
2024-04-27 06:34:18,8.5,47.3,85.7
2024-04-27 06:49:28,8.6,47.5,85.7
2024-04-27 07:50:37,8.5,47.3,85.9
2024-04-27 08:06:28,8.5,47.3,85.8
